Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 1 | loss: 0.0239
Eval Epoch 0 | Mean relative regret: 0.2245
Epoch 2 | loss: 0.0197
Eval Epoch 1 | Mean relative regret: 0.2132
Epoch 3 | loss: 0.0172
Eval Epoch 2 | Mean relative regret: 0.2017
Epoch 4 | loss: 0.0155
Eval Epoch 3 | Mean relative regret: 0.1941
Epoch 5 | loss: 0.0144
Eval Epoch 4 | Mean relative regret: 0.1880
Epoch 6 | loss: 0.0137
Eval Epoch 5 | Mean relative regret: 0.1805
Epoch 7 | loss: 0.0127
Eval Epoch 6 | Mean relative regret: 0.1735
Epoch 8 | loss: 0.0120
Eval Epoch 7 | Mean relative regret: 0.1679
Epoch 9 | loss: 0.0108
Eval Epoch 8 | Mean relative regret: 0.1617
Epoch 10 | loss: 0.0104
Eval Epoch 9 | Mean relative regret: 0.1584
Epoch 11 | loss: 0.0097
Eval Epoch 10 | Mean relative regret: 0.1558
Epoch 12 | loss: 0.0090
Eval Epoch 11 | Mean relative regret: 0.1531
Epoch 13 | loss: 0.0087
Eval Epoch 12 | Mean relative regret: 0.1514
Epoch 14 | loss: 0.0082
Eval Epoch 13 | Mean relative regret: 0.1488
Epoch 15 | loss: 0.0076
Eval Epoch 14 | Mean relative regret: 0.1475
Epoch 16 | loss: 0.0072
Eval Epoch 15 | Mean relative regret: 0.1480
Epoch 17 | loss: 0.0070
Eval Epoch 16 | Mean relative regret: 0.1464
Epoch 18 | loss: 0.0067
Eval Epoch 17 | Mean relative regret: 0.1470
Epoch 19 | loss: 0.0066
Eval Epoch 18 | Mean relative regret: 0.1478
Epoch 20 | loss: 0.0064
Eval Epoch 19 | Mean relative regret: 0.1471
Epoch 21 | loss: 0.0061
Eval Epoch 20 | Mean relative regret: 0.1468
Epoch 22 | loss: 0.0059
Eval Epoch 21 | Mean relative regret: 0.1485
Epoch 23 | loss: 0.0057
Eval Epoch 22 | Mean relative regret: 0.1467
Epoch 24 | loss: 0.0058
Eval Epoch 23 | Mean relative regret: 0.1471
Epoch 25 | loss: 0.0055
Eval Epoch 24 | Mean relative regret: 0.1464
Epoch 26 | loss: 0.0055
Eval Epoch 25 | Mean relative regret: 0.1472
Epoch 27 | loss: 0.0052
Eval Epoch 26 | Mean relative regret: 0.1472
Epoch 28 | loss: 0.0053
Eval Epoch 27 | Mean relative regret: 0.1467
Epoch 29 | loss: 0.0050
Eval Epoch 28 | Mean relative regret: 0.1471
Epoch 30 | loss: 0.0050
Eval Epoch 29 | Mean relative regret: 0.1472
Epoch 31 | loss: 0.0049
Eval Epoch 30 | Mean relative regret: 0.1483
Epoch 32 | loss: 0.0047
Eval Epoch 31 | Mean relative regret: 0.1482
Epoch 33 | loss: 0.0047
Eval Epoch 32 | Mean relative regret: 0.1491
Epoch 34 | loss: 0.0045
Eval Epoch 33 | Mean relative regret: 0.1494
Epoch 35 | loss: 0.0047
Eval Epoch 34 | Mean relative regret: 0.1498
Epoch 36 | loss: 0.0044
Eval Epoch 35 | Mean relative regret: 0.1496
Epoch 37 | loss: 0.0044
Eval Epoch 36 | Mean relative regret: 0.1504
Epoch 38 | loss: 0.0046
Eval Epoch 37 | Mean relative regret: 0.1500
Epoch 39 | loss: 0.0044
Eval Epoch 38 | Mean relative regret: 0.1503
Epoch 40 | loss: 0.0044
Eval Epoch 39 | Mean relative regret: 0.1495
Epoch 41 | loss: 0.0044
Eval Epoch 40 | Mean relative regret: 0.1498
Epoch 42 | loss: 0.0043
Eval Epoch 41 | Mean relative regret: 0.1500
Epoch 43 | loss: 0.0043
Eval Epoch 42 | Mean relative regret: 0.1499
Epoch 44 | loss: 0.0041
Eval Epoch 43 | Mean relative regret: 0.1499
Epoch 45 | loss: 0.0040
Eval Epoch 44 | Mean relative regret: 0.1509
Epoch 46 | loss: 0.0041
Eval Epoch 45 | Mean relative regret: 0.1507
Epoch 47 | loss: 0.0040
Eval Epoch 46 | Mean relative regret: 0.1505
Epoch 48 | loss: 0.0040
Eval Epoch 47 | Mean relative regret: 0.1511
Epoch 49 | loss: 0.0039
Eval Epoch 48 | Mean relative regret: 0.1514
Epoch 50 | loss: 0.0039
Eval Epoch 49 | Mean relative regret: 0.1521
Epoch 51 | loss: 0.0039
Eval Epoch 50 | Mean relative regret: 0.1518
Epoch 52 | loss: 0.0038
Eval Epoch 51 | Mean relative regret: 0.1512
Epoch 53 | loss: 0.0039
Eval Epoch 52 | Mean relative regret: 0.1518
Epoch 54 | loss: 0.0038
Eval Epoch 53 | Mean relative regret: 0.1527
Epoch 55 | loss: 0.0038
Eval Epoch 54 | Mean relative regret: 0.1532
Epoch 56 | loss: 0.0037
Eval Epoch 55 | Mean relative regret: 0.1529
Epoch 57 | loss: 0.0035
Eval Epoch 56 | Mean relative regret: 0.1530
Epoch 58 | loss: 0.0037
Eval Epoch 57 | Mean relative regret: 0.1536
Epoch 59 | loss: 0.0037
Eval Epoch 58 | Mean relative regret: 0.1528
Epoch 60 | loss: 0.0036
Eval Epoch 59 | Mean relative regret: 0.1527
Epoch 61 | loss: 0.0036
Eval Epoch 60 | Mean relative regret: 0.1531
Epoch 62 | loss: 0.0036
Eval Epoch 61 | Mean relative regret: 0.1530
Epoch 63 | loss: 0.0036
Eval Epoch 62 | Mean relative regret: 0.1525
Epoch 64 | loss: 0.0034
Eval Epoch 63 | Mean relative regret: 0.1522
Epoch 65 | loss: 0.0035
Eval Epoch 64 | Mean relative regret: 0.1527
Epoch 66 | loss: 0.0036
Eval Epoch 65 | Mean relative regret: 0.1525
Epoch 67 | loss: 0.0036
Eval Epoch 66 | Mean relative regret: 0.1527
Epoch 68 | loss: 0.0035
Eval Epoch 67 | Mean relative regret: 0.1535
Epoch 69 | loss: 0.0036
Eval Epoch 68 | Mean relative regret: 0.1529
Epoch 70 | loss: 0.0035
Eval Epoch 69 | Mean relative regret: 0.1523
Epoch 71 | loss: 0.0034
Eval Epoch 70 | Mean relative regret: 0.1522
Epoch 72 | loss: 0.0033
Eval Epoch 71 | Mean relative regret: 0.1523
Epoch 73 | loss: 0.0034
Eval Epoch 72 | Mean relative regret: 0.1532
Epoch 74 | loss: 0.0033
Eval Epoch 73 | Mean relative regret: 0.1532
Epoch 75 | loss: 0.0033
Eval Epoch 74 | Mean relative regret: 0.1533
Epoch 76 | loss: 0.0035
Eval Epoch 75 | Mean relative regret: 0.1533
Epoch 77 | loss: 0.0032
Eval Epoch 76 | Mean relative regret: 0.1536
Epoch 78 | loss: 0.0033
Eval Epoch 77 | Mean relative regret: 0.1538
Epoch 79 | loss: 0.0033
Eval Epoch 78 | Mean relative regret: 0.1539
Epoch 80 | loss: 0.0033
Eval Epoch 79 | Mean relative regret: 0.1541
Epoch 81 | loss: 0.0032
Eval Epoch 80 | Mean relative regret: 0.1539
Epoch 82 | loss: 0.0033
Eval Epoch 81 | Mean relative regret: 0.1533
Epoch 83 | loss: 0.0032
Eval Epoch 82 | Mean relative regret: 0.1533
Epoch 84 | loss: 0.0031
Eval Epoch 83 | Mean relative regret: 0.1538
Epoch 85 | loss: 0.0032
Eval Epoch 84 | Mean relative regret: 0.1536
Epoch 86 | loss: 0.0032
Eval Epoch 85 | Mean relative regret: 0.1536
Epoch 87 | loss: 0.0032
Eval Epoch 86 | Mean relative regret: 0.1543
Epoch 88 | loss: 0.0031
Eval Epoch 87 | Mean relative regret: 0.1542
Epoch 89 | loss: 0.0032
Eval Epoch 88 | Mean relative regret: 0.1545
Epoch 90 | loss: 0.0031
Eval Epoch 89 | Mean relative regret: 0.1543
Epoch 91 | loss: 0.0031
Eval Epoch 90 | Mean relative regret: 0.1544
Epoch 92 | loss: 0.0031
Eval Epoch 91 | Mean relative regret: 0.1551
Epoch 93 | loss: 0.0032
Eval Epoch 92 | Mean relative regret: 0.1554
Epoch 94 | loss: 0.0031
Eval Epoch 93 | Mean relative regret: 0.1552
Epoch 95 | loss: 0.0031
Eval Epoch 94 | Mean relative regret: 0.1558
Epoch 96 | loss: 0.0031
Eval Epoch 95 | Mean relative regret: 0.1556
Epoch 97 | loss: 0.0031
Eval Epoch 96 | Mean relative regret: 0.1554
Epoch 98 | loss: 0.0030
Eval Epoch 97 | Mean relative regret: 0.1553
Epoch 99 | loss: 0.0031
Eval Epoch 98 | Mean relative regret: 0.1555
Epoch 100 | loss: 0.0030
Eval Epoch 99 | Mean relative regret: 0.1551
Epoch 101 | loss: 0.0031
Eval Epoch 100 | Mean relative regret: 0.1555
Epoch 102 | loss: 0.0030
Eval Epoch 101 | Mean relative regret: 0.1551
Epoch 103 | loss: 0.0029
Eval Epoch 102 | Mean relative regret: 0.1548
Epoch 104 | loss: 0.0029
Eval Epoch 103 | Mean relative regret: 0.1553
Epoch 105 | loss: 0.0031
Eval Epoch 104 | Mean relative regret: 0.1556
Epoch 106 | loss: 0.0029
Eval Epoch 105 | Mean relative regret: 0.1558
Epoch 107 | loss: 0.0030
Eval Epoch 106 | Mean relative regret: 0.1555
Epoch 108 | loss: 0.0029
Eval Epoch 107 | Mean relative regret: 0.1557
Epoch 109 | loss: 0.0029
Eval Epoch 108 | Mean relative regret: 0.1556
Epoch 110 | loss: 0.0029
Eval Epoch 109 | Mean relative regret: 0.1561
Epoch 111 | loss: 0.0029
Eval Epoch 110 | Mean relative regret: 0.1566
Epoch 112 | loss: 0.0029
Eval Epoch 111 | Mean relative regret: 0.1562
Epoch 113 | loss: 0.0029
Eval Epoch 112 | Mean relative regret: 0.1562
Epoch 114 | loss: 0.0029
Eval Epoch 113 | Mean relative regret: 0.1562
Epoch 115 | loss: 0.0028
Eval Epoch 114 | Mean relative regret: 0.1558
Epoch 116 | loss: 0.0028
Eval Epoch 115 | Mean relative regret: 0.1562
Epoch 117 | loss: 0.0029
Eval Epoch 116 | Mean relative regret: 0.1568
Epoch 118 | loss: 0.0028
Eval Epoch 117 | Mean relative regret: 0.1566
Epoch 119 | loss: 0.0028
Eval Epoch 118 | Mean relative regret: 0.1563
Epoch 120 | loss: 0.0027
Eval Epoch 119 | Mean relative regret: 0.1563
Epoch 121 | loss: 0.0027
Eval Epoch 120 | Mean relative regret: 0.1560
Epoch 122 | loss: 0.0028
Eval Epoch 121 | Mean relative regret: 0.1557
Epoch 123 | loss: 0.0028
Eval Epoch 122 | Mean relative regret: 0.1554
Epoch 124 | loss: 0.0027
Eval Epoch 123 | Mean relative regret: 0.1552
Epoch 125 | loss: 0.0027
Eval Epoch 124 | Mean relative regret: 0.1557
Epoch 126 | loss: 0.0029
Eval Epoch 125 | Mean relative regret: 0.1559
Epoch 127 | loss: 0.0028
Eval Epoch 126 | Mean relative regret: 0.1556
Epoch 128 | loss: 0.0028
Eval Epoch 127 | Mean relative regret: 0.1557
Epoch 129 | loss: 0.0028
Eval Epoch 128 | Mean relative regret: 0.1561
Epoch 130 | loss: 0.0027
Eval Epoch 129 | Mean relative regret: 0.1566
Epoch 131 | loss: 0.0027
Eval Epoch 130 | Mean relative regret: 0.1563
Epoch 132 | loss: 0.0027
Eval Epoch 131 | Mean relative regret: 0.1559
Epoch 133 | loss: 0.0027
Eval Epoch 132 | Mean relative regret: 0.1562
Epoch 134 | loss: 0.0028
Eval Epoch 133 | Mean relative regret: 0.1568
Epoch 135 | loss: 0.0027
Eval Epoch 134 | Mean relative regret: 0.1566
Epoch 136 | loss: 0.0027
Eval Epoch 135 | Mean relative regret: 0.1563
Epoch 137 | loss: 0.0028
Eval Epoch 136 | Mean relative regret: 0.1565
Epoch 138 | loss: 0.0028
Eval Epoch 137 | Mean relative regret: 0.1566
Epoch 139 | loss: 0.0027
Eval Epoch 138 | Mean relative regret: 0.1563
Epoch 140 | loss: 0.0027
Eval Epoch 139 | Mean relative regret: 0.1567
Epoch 141 | loss: 0.0027
Eval Epoch 140 | Mean relative regret: 0.1558
Epoch 142 | loss: 0.0029
Eval Epoch 141 | Mean relative regret: 0.1561
Epoch 143 | loss: 0.0025
Eval Epoch 142 | Mean relative regret: 0.1566
Epoch 144 | loss: 0.0026
